Name,RT,RI_msp,RI_input,Alert
Benzaldehyde,12.92484,962,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Bicyclo[3.1.0]hex-2-ene, 4-methyl-1-(1-methylethyl)-",13.15812,966,The content of the retention time actually detected was not retrieved,rt_is_in_silico
1-Octen-3-one,13.91628,979,The content of the retention time actually detected was not retrieved,rt_is_in_silico
1-Octen-3-ol,13.974599999999999,980,The content of the retention time actually detected was not retrieved,rt_is_in_silico
2-Octanone,14.5578,990,The content of the retention time actually detected was not retrieved,rt_is_in_silico
beta-Myrcene,14.61612,991,The content of the retention time actually detected was not retrieved,rt_is_in_silico
3-Octanol,14.791080000000001,994,The content of the retention time actually detected was not retrieved,rt_is_in_silico
alpha-Phellandrene,15.4768,1005,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"1,3-Cyclohexadiene, 1-methyl-4-(1-methylethyl)-",16.28272,1017,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Cyclohexene, 1-methyl-5-(1-methylethenyl)-, (R)-",16.95432,1027,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"1-Hexanol, 2-ethyl-",17.1558,1030,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Eucalyptol,17.29012,1032,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Benzyl alcohol,17.55876,1036,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"1,3,6-Octatriene, 3,7-dimethyl-, (Z)-",17.69308,1038,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Benzeneacetaldehyde,18.1632,1045,The content of the retention time actually detected was not retrieved,rt_is_in_silico
trans-beta-Ocimene,18.43184,1049,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2-Octenal, (E)-",19.1706,1060,The content of the retention time actually detected was not retrieved,rt_is_in_silico
gamma-Terpinene,19.1706,1060,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Acetophenone,19.5064,1065,The content of the retention time actually detected was not retrieved,rt_is_in_silico
1-Octanol,19.90936,1071,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"3,5-Octadien-2-one, (E,E)-",20.043680000000002,1073,The content of the retention time actually detected was not retrieved,rt_is_in_silico
p-Cresol,20.31232,1077,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Cyclohexene, 1-methyl-4-(1-methylethylidene)-",21.05108,1088,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate,21.1854,1090,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Benzene, 1-methyl-4-(1-methylethenyl)-",21.1854,1090,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"3,5-Octadien-2-one",21.25256,1091,The content of the retention time actually detected was not retrieved,rt_is_in_silico
3-Methyl-2-(2-methyl-2-butenyl)-furan,21.386879999999998,1093,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Benzoic acid, methyl ester",21.45404,1094,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Linalool,21.789839999999998,1099,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Nonanal,22.13404,1104,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"1,5,7-Octatrien-3-ol, 3,7-dimethyl-",22.34182,1107,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"6-Methyl-3,5-heptadiene-2-one",22.34182,1107,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2H-Pyran-3(4H)-one, 6-ethenyldihydro-2,2,6-trimethyl-",22.41108,1108,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2H-Pyran, tetrahydro-4-methyl-2-(2-methyl-1-propenyl)-",22.549599999999998,1110,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"(E)-4,8-Dimethylnona-1,3,7-triene",22.96516,1116,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Phenylethyl Alcohol,22.96516,1116,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"(2R,4R)-4-Methyl-2-(2-methylprop-1-en-1-yl)tetrahydro-2H-pyran",23.72702,1127,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Benzyl nitrile,24.90444,1144,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Isopulegol,25.04296,1146,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Benzoic acid, ethyl ester",26.77446,1171,The content of the retention time actually detected was not retrieved,rt_is_in_silico
1-Nonanol,26.91298,1173,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Terpinen-4-ol,27.19002,1177,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2-Cyclohexen-1-one, 4-(1-methylethyl)-",27.67484,1184,The content of the retention time actually detected was not retrieved,rt_is_in_silico
alpha-Terpineol,28.021140000000003,1189,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Methyl salicylate,28.228920000000002,1192,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Estragole,28.50596,1196,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Decanal,29.191480000000002,1206,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Benzaldehyde, 2,5-dimethyl-",29.327640000000002,1208,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"1-Cyclohexene-1-carboxaldehyde, 2,6,6-trimethyl-",30.1446,1220,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2,6-Octadien-1-ol, 3,7-dimethyl-, (Z)-",30.68924,1228,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Citronellol,30.68924,1228,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Benzaldehyde, 4-(1-methylethyl)-",31.43812,1239,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Neral,31.5062,1240,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Carvone,31.64236,1242,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)-",32.39124,1253,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Geraniol,32.5274,1255,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2,6-Octadien-1-ol, 3,7-dimethyl-",32.8678,1260,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Benzoic acid, 2-hydroxy-, ethyl ester",33.48052,1269,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2,6-Octadienal, 3,7-dimethyl-, (E)-",33.5486,1270,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"1-Cyclohexene-1-carboxaldehyde, 4-(1-methylethenyl)-",33.68476,1272,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"4-Isopropylcyclohexa-1,3-dienecarbaldehyde",34.43364,1283,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Shisool,34.97828,1291,The content of the retention time actually detected was not retrieved,rt_is_in_silico
2-Undecanone,35.182520000000004,1294,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"p-Mentha-1,8-dien-7-ol",35.31868,1296,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Benzene, (2-nitroethyl)-",35.85216,1304,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Benzoic acid, 2-methylpropyl ester",36.96209,1321,The content of the retention time actually detected was not retrieved,rt_is_in_silico
trans-Geranic acid methyl ester,37.15796,1324,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Cyclohexene, 4-ethenyl-4-methyl-3-(1-methylethenyl)-1-(1-methylethyl)-, (3R-trans)-",38.07202,1338,The content of the retention time actually detected was not retrieved,rt_is_in_silico
alpha-Terpinyl acetate,38.8555,1350,The content of the retention time actually detected was not retrieved,rt_is_in_silico
alpha-Cubebene,38.92079,1351,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Eugenol,39.312529999999995,1357,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2(3H)-Furanone, dihydro-5-pentyl-",39.70427,1363,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Ylangene,40.29188,1372,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2-Octenal, 2-butyl-",40.68362,1378,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2-Buten-1-one, 1-(2,6,6-trimethyl-1,3-cyclohexadien-1-yl)-, (E)-",41.20594,1386,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, [1S-(1alpha,2beta,4beta)]-",41.53239,1391,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Butanoic acid, 3-methyl-, phenylmethyl ester",41.793549999999996,1395,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Tetradecane,41.9185,1400,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Methyl 4-(prop-1-en-2-yl)cyclohex-1-enecarboxylate,41.989419999999996,1398,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Caryophyllene,43.28394,1419,The content of the retention time actually detected was not retrieved,rt_is_in_silico
trans-alpha-Bergamotene,44.2641,1435,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"1-Butanol, 3-methyl-, benzoate",44.50914,1439,The content of the retention time actually detected was not retrieved,rt_is_in_silico
alpha-Guaiene,44.50914,1439,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"5,9-Undecadien-2-one, 6,10-dimethyl-, (E)-",45.36678,1453,The content of the retention time actually detected was not retrieved,rt_is_in_silico
(E)-beta-Famesene,45.61182,1457,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2(3H)-Furanone, 5-hexyldihydro-",46.4082,1470,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Spiro[4.5]dec-7-ene, 1,8-dimethyl-4-(1-methylethenyl)-, [1S-(1alpha,4beta,5alpha)]-",46.46946,1471,The content of the retention time actually detected was not retrieved,rt_is_in_silico
gamma-Muurolene,46.83702,1477,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Benzene, 1-(1,5-dimethyl-4-hexenyl)-4-methyl-",47.20458,1483,The content of the retention time actually detected was not retrieved,rt_is_in_silico
trans-beta-Ionone,47.388360000000006,1486,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"1,3,6,10-Dodecatetraene, 3,7,11-trimethyl-, (Z,E)-",47.69466,1491,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"(1S,2E,6E,10R)-3,7,11,11-Tetramethylbicyclo[8.1.0]undeca-2,6-diene",47.9397,1495,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"1,3-Cyclohexadiene, 5-(1,5-dimethyl-4-hexenyl)-2-methyl-, [S-(R*,S*)]-",47.9397,1495,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Benzyl tiglate,48.12348,1498,The content of the retention time actually detected was not retrieved,rt_is_in_silico
cis-alpha-Bisabolene,48.47496,1504,The content of the retention time actually detected was not retrieved,rt_is_in_silico
alpha-Farnesene,48.703920000000004,1508,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Tridecanal,48.932880000000004,1512,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Butylated Hydroxytoluene,48.990120000000005,1513,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Phenol, 2,5-bis(1,1-dimethylethyl)-",49.047360000000005,1514,The content of the retention time actually detected was not retrieved,rt_is_in_silico
(Z)-1-Methyl-4-(6-methylhept-5-en-2-ylidene)cyclohex-1-ene,49.104600000000005,1515,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Naphthalene, 1,2,4a,5,8,8a-hexahydro-4,7-dimethyl-1-(1-methylethyl)-, [1S-(1alpha,4abeta,8aalpha)]-",49.27632,1518,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2,4-Di-tert-butylphenol",49.33356,1519,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Cyclohexene, 3-(1,5-dimethyl-4-hexenyl)-6-methylene-, [S-(R*,S*)]-",49.61976,1524,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Dodecanoic acid, methyl ester",49.73424,1526,The content of the retention time actually detected was not retrieved,rt_is_in_silico
(E)-1-Methyl-4-(6-methylhept-5-en-2-ylidene)cyclohex-1-ene,50.13492,1533,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"1,6,10-Dodecatrien-3-ol, 3,7,11-trimethyl-, (E)-",51.90936,1564,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"3-Hexen-1-ol, benzoate, (Z)-",52.2528,1570,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Furan, 3-(4,8-dimethyl-3,7-nonadienyl)-, (E)-",52.48176,1574,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"(3E,7E)-4,8,12-Trimethyltrideca-1,3,7,11-tetraene",52.65348,1577,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Benzoic acid, hexyl ester",52.8252,1580,The content of the retention time actually detected was not retrieved,rt_is_in_silico
(-)-Globulol,52.8252,1580,The content of the retention time actually detected was not retrieved,rt_is_in_silico
E-2-Hexenyl benzoate,53.28312,1588,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Tetradecanal,54.66888,1613,The content of the retention time actually detected was not retrieved,rt_is_in_silico
tau-Cadinol,56.1204,1640,The content of the retention time actually detected was not retrieved,rt_is_in_silico
tau-Muurolol,56.22792,1642,The content of the retention time actually detected was not retrieved,rt_is_in_silico
aR-Turmerone,57.41064,1664,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Tridecanoic acid, 12-methyl-, methyl ester",58.59336,1686,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Heptadecane,58.863,1700,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Pentadecanal-,60.0075,1715,The content of the retention time actually detected was not retrieved,rt_is_in_silico
trans-Farnesol,60.316199999999995,1722,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Methyl tetradecanoate,60.448499999999996,1725,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2,6,10-Dodecatrienal, 3,7,11-trimethyl-, (E,E)-",60.8895,1735,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Benzyl Benzoate,62.0802,1762,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Octadecane,62.09049999999999,1800,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Benzene, 1,1'-[1,2-ethanediylbis(oxy)]bis-",63.87469,1811,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Hexadecanal,63.93943,1817,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"2-Pentadecanone, 6,10,14-trimethyl-",64.23076,1844,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Benzoic acid, 2-phenylethyl ester",64.36023999999999,1856,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Benzoic acid, 2-hydroxy-, phenylmethyl ester",64.50050999999999,1869,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",64.51129999999999,1870,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Nonadecane,64.61699999999999,1900,The content of the retention time actually detected was not retrieved,rt_is_in_silico
"Hexadecanoic acid, methyl ester",65.00218,1926,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Dibutyl phthalate,65.25295,1965,The content of the retention time actually detected was not retrieved,rt_is_in_silico
Eicosane,65.394,2000,The content of the retention time actually detected was not retrieved,rt_is_in_silico
