Name,RT,ion
Propanoic acid,3.6175,73
Propanoic acid,3.6175,57
Propanoic acid,3.6175,74
1-Butanethiol,3.6386,61
1-Butanethiol,3.6386,90
3-Heptene,3.6762,41
3-Heptene,3.6762,98
"Butanoic acid, methyl ester",3.7326,41
"Butanoic acid, methyl ester",3.7326,87
"Butanenitrile, 2-methyl-",3.7514,41
"Butanenitrile, 2-methyl-",3.7514,54
"Butanenitrile, 2-methyl-",3.7514,55
"Formic acid, butyl ester",3.7702,45
"Formic acid, butyl ester",3.7702,55
"Formic acid, butyl ester",3.7702,57
"3-Penten-1-ol, (Z)-",3.789,68
2-Vinylfuran,3.789,94
2-Vinylfuran,3.789,95
"3-Penten-1-ol, (Z)-",3.789,40
"2-Butene, 1-chloro-3-methyl-",3.789,104
"2-Butene, 1-chloro-3-methyl-",3.789,106
"Ethane, 1,1-diethoxy-",3.8078,45
"Ethane, 1,1-diethoxy-",3.8078,103
"Ethenamine, N-methylene-",3.8266,52
"Ethenamine, N-methylene-",3.8266,54
"Ethenamine, N-methylene-",3.8266,55
"2-Butanethiol, 2-methyl-",3.8454,71
"2-Butanethiol, 2-methyl-",3.8454,104
"1-Propene, 1-(methylthio)-, (Z)-",3.8454,73
"1-Propene, 1-(methylthio)-, (Z)-",3.8454,88
"Cyclohexane, methyl-",3.8454,69
"Cyclohexane, methyl-",3.8454,83
"Cyclohexane, methyl-",3.8454,98
"2,4-Dimethylfuran",3.8642,95
"2,4-Dimethylfuran",3.8642,97
"3-Buten-1-ol, 3-methyl-",3.883,86
"3-Buten-1-ol, 3-methyl-",3.883,68
"Butanenitrile, 3-methyl-",3.9018,43
"Butanenitrile, 3-methyl-",3.9018,39
"Butanenitrile, 3-methyl-",3.9018,41
"Hexane, 2,4-dimethyl-",3.9206,57
"Hexane, 2,4-dimethyl-",3.9206,70
"Hexane, 2,4-dimethyl-",3.9206,84
3-Penten-2-one,3.9394,41
3-Penten-2-one,3.9394,69
3-Penten-2-one,3.9394,84
Thiazole,3.977,57
Thiazole,3.977,58
Thiazole,3.977,85
Methyl Isobutyl Ketone,3.977,57
Methyl Isobutyl Ketone,3.977,100
Pyrazine,3.9958,51
Pyrazine,3.9958,80
Pyrazine,3.9958,53
Pyrazine,3.9958,52
"1-Butanol, 3-methyl-",3.9958,55
"1-Butanol, 3-methyl-",3.9958,45
"1-Butanol, 3-methyl-",3.9958,42
"1-Butanol, 3-methyl-",3.9958,70
"3-Buten-2-ol, 3-methyl-",4.0146,43
"3-Buten-2-ol, 3-methyl-",4.0146,67
"3-Buten-2-ol, 3-methyl-",4.0146,86
"1-Butanol, 2-methyl-",4.0522,42
"1-Butanol, 2-methyl-",4.0522,57
"1-Butanol, 2-methyl-",4.0522,70
Propylene Glycol,4.071,43
Propylene Glycol,4.071,45
"1-Hexene, 4,5-dimethyl-",4.0898,42
"1-Hexene, 4,5-dimethyl-",4.0898,67
5-Hexen-2-one,4.1086,39
5-Hexen-2-one,4.1086,43
5-Hexen-2-one,4.1086,55
"Pentane, 1-chloro-",4.1086,70
"Pentane, 1-chloro-",4.1086,41
"Pentane, 1-chloro-",4.1086,55
"1H-Pyrrole, 1-methyl-",4.1274,53
"1H-Pyrrole, 1-methyl-",4.1274,80
"1H-Pyrrole, 1-methyl-",4.1274,81
"Hexane, 3,3-dimethyl-",4.1462,70
"Hexane, 3,3-dimethyl-",4.1462,84
"Hexane, 3,3-dimethyl-",4.1462,85
"2-Butenal, 2-methyl-, (E)-",4.165,41
"2-Butenal, 2-methyl-, (E)-",4.165,83
"2-Butenal, 2-methyl-, (E)-",4.165,84
"3-Pentanone, 2-methyl-",4.165,71
"3-Pentanone, 2-methyl-",4.165,100
"2-Butenal, 2-methyl-",4.1838,83
"2-Butenal, 2-methyl-",4.1838,41
Pyridine,4.1838,78
Pyridine,4.1838,52
"Disulfide, dimethyl",4.1838,94
"Disulfide, dimethyl",4.1838,64
Pyridine,4.1838,51
"Propanoic acid, 1-methylethyl ester",4.2778,75
"Propanoic acid, 1-methylethyl ester",4.2778,101
"Propanoic acid, 2-hydroxy-, methyl ester, (.+/-.)-",4.2778,43
"Propanoic acid, 2-hydroxy-, methyl ester, (.+/-.)-",4.2778,45
"2-Pentanone, 3-methyl-",4.2966,72
"2-Pentanone, 3-methyl-",4.2966,43
"3-Pentanol, 3-methyl-",4.2966,73
"3-Pentanol, 3-methyl-",4.2966,41
"2-Pentenal, (E)-",4.3342,55
"2-Pentenal, (E)-",4.3342,83
"2-Butenoic acid, methyl ester",4.353,100
"2-Butenoic acid, methyl ester",4.353,85
"2-Butenoic acid, methyl ester",4.353,69
S-Ethyl ethanethioate,4.353,104
S-Ethyl ethanethioate,4.353,61
Pyrrole,4.353,41
Pyrrole,4.353,40
Pyrrole,4.353,66
"Propanoic acid, 2-methyl-, ethyl ester",4.3718,71
"Propanoic acid, 2-methyl-, ethyl ester",4.3718,116
"Ethanol, 2-methoxy-, acetate",4.3906,43
"Ethanol, 2-methoxy-, acetate",4.3906,45
"Ethanol, 2-methoxy-, acetate",4.3906,58
"2-Butenoic acid, methyl ester, (E)-",4.4094,69
"2-Butenoic acid, methyl ester, (E)-",4.4094,100
"2-Pentanol, 4-methyl-",4.4094,43
"2-Pentanol, 4-methyl-",4.4094,69
sec-Butyl acetate,4.447,41
sec-Butyl acetate,4.447,43
sec-Butyl acetate,4.447,87
Toluene,4.5034,92
Toluene,4.5034,91
"Heptane, 2-methyl-",4.541,71
"Heptane, 2-methyl-",4.541,99
1-Pentanol,4.541,42
1-Pentanol,4.541,57
1-Pentanol,4.541,70
"Heptane, 4-methyl-",4.5786,71
"Heptane, 4-methyl-",4.5786,41
"Heptane, 4-methyl-",4.5786,70
Diethyl carbonate,4.5786,45
Diethyl carbonate,4.5786,63
Diethyl carbonate,4.5786,91
"2-Penten-1-ol, (Z)-",4.5786,39
"2-Penten-1-ol, (Z)-",4.5786,68
1-Hexen-3-ol,4.6162,41
1-Hexen-3-ol,4.6162,72
"2-Penten-1-ol, (E)-",4.6162,86
1-Hexen-3-ol,4.6162,71
"2-Buten-1-ol, 2-methyl-",4.6162,86
"2-Penten-1-ol, (E)-",4.6162,44
"2-Buten-1-ol, 2-methyl-",4.6162,41
Isobutyl acetate,4.6538,43
Isobutyl acetate,4.6538,56
Isobutyl acetate,4.6538,73
"1,3,5-Cycloheptatriene",4.6726,91
"1,3,5-Cycloheptatriene",4.6726,92
"DL-2,3-Butanediol",4.6914,55
"Heptane, 3-methyl-",4.6914,84
"Heptane, 3-methyl-",4.6914,39
Methyl isovalerate,4.6914,101
"DL-2,3-Butanediol",4.6914,45
"DL-2,3-Butanediol",4.6914,43
Methyl isovalerate,4.6914,59
"Thiophene, 2-methyl-",4.729,98
"3-Pentanol, 2-methyl-",4.729,55
"3-Pentanol, 2-methyl-",4.729,41
"3-Pentanol, 2-methyl-",4.729,73
"Butanoic acid, 2-methyl-, methyl ester",4.729,88
"Butanoic acid, 2-methyl-, methyl ester",4.729,85
Prenol,4.729,86
Prenol,4.729,71
"Thiophene, 2-methyl-",4.729,97
"Propanoic acid, 2-methyl-",4.7666,41
"Propanoic acid, 2-methyl-",4.7666,88
"2-Pentanol, 3-methyl-",4.7854,45
"2-Pentanol, 3-methyl-",4.7854,56
"2-Pentanol, 3-methyl-",4.7854,41
2-Pentanethiol,4.8606,71
2-Pentanethiol,4.8606,104
"2-Butenal, 3-methyl-",4.8606,41
"2-Butenal, 3-methyl-",4.8606,84
"Formamide, N,N-dimethyl-",4.8794,41
"Formamide, N,N-dimethyl-",4.8794,73
"3-Hexanone, 2-methyl-",4.8982,114
"3-Hexanone, 2-methyl-",4.8982,43
3-Hexanone,4.8982,43
3-Hexanone,4.8982,57
3-Hexanone,4.8982,100
S-Methyl propanethioate,4.917,75
S-Methyl propanethioate,4.917,104
O-Methyl-N-methylcarbamate,4.917,43
O-Methyl-N-methylcarbamate,4.917,74
O-Methyl-N-methylcarbamate,4.917,89
"Thiophene, 3-methyl-",4.9358,97
"Thiophene, 3-methyl-",4.9358,98
"2,3-Butanediol",4.9734,43
"2,3-Butanediol",4.9734,45
"2,3-Butanediol",4.9734,57
1-Octene,4.9922,83
1-Octene,4.9922,112
2-Methyl-2-heptene,5.011,112
2-Methyl-2-heptene,5.011,69
2-Hexanone,5.011,100
2-Hexanone,5.011,85
"1,4-Cyclohexadiene, 1-methyl-",5.011,94
"1,4-Cyclohexadiene, 1-methyl-",5.011,79
Cyclopentanone,5.0298,41
Cyclopentanone,5.0298,55
Cyclopentanone,5.0298,84
"Furan, 2-propyl-",5.0298,82
"Furan, 2-propyl-",5.0298,110
"1-Butanol, 3-methyl-, formate",5.0486,74
"1-Butanol, 3-methyl-, formate",5.0486,69
"4-Pentenal, 2-methyl-",5.0674,39
"4-Pentenal, 2-methyl-",5.0674,83
Bicyclo[4.1.0]heptane,5.1238,67
Bicyclo[4.1.0]heptane,5.1238,96
"Formic acid, pentyl ester",5.1238,41
"Formic acid, pentyl ester",5.1238,47
3-Hexanol,5.1426,73
3-Hexanol,5.1426,55
3-Hexanol,5.1426,59
"2-Octene, (E)-",5.1614,83
"2-Octene, (E)-",5.1614,112
"3-Penten-2-one, 4-methyl-",5.1614,39
"3-Penten-2-one, 4-methyl-",5.1614,83
"3-Penten-2-one, 4-methyl-",5.1614,98
2-Hexanol,5.2401,41
2-Hexanol,5.2401,45
2-Hexanol,5.2401,69
"2-Butenal, 2-ethyl-",5.2401,83
"2-Butenal, 2-ethyl-",5.2401,98
"Butanoic acid, ethyl ester",5.2812,88
"Butanoic acid, ethyl ester",5.2812,89
Butanoic acid,5.4045,73
Butanoic acid,5.4045,60
"Propanoic acid, propyl ester",5.4867,87
"Propanoic acid, propyl ester",5.4867,41
"1-Butanol, 2-ethyl-",5.5278,69
"1-Butanol, 2-ethyl-",5.5278,84
"Formamide, N-methyl-",5.5689,58
"Formamide, N-methyl-",5.5689,59
3-Hexenal,5.61,80
3-Hexenal,5.61,98
3-Hexen-2-one,5.6511,55
3-Hexen-2-one,5.6511,83
3-Hexen-2-one,5.6511,98
"Acetic acid, butyl ester",5.6922,43
"Acetic acid, butyl ester",5.6922,61
"Acetic acid, butyl ester",5.6922,73
"Thiophene, tetrahydro-",5.7333,87
"Thiophene, tetrahydro-",5.7333,88
"Propane, 1,1-diethoxy-",5.7333,103
"Cyclopropane, pentyl-",5.7333,84
"Propane, 1,1-diethoxy-",5.7333,75
"Cyclopropane, pentyl-",5.7333,83
"Cyclopropane, pentyl-",5.7333,70
"Methacrylic acid, ethyl ester",5.7744,69
"Methacrylic acid, ethyl ester",5.7744,99
Tetrachloroethylene,5.7744,164
Tetrachloroethylene,5.7744,166
"Propanoic acid, 2-hydroxy-, ethyl ester",5.8155,75
"Propanoic acid, 2-hydroxy-, ethyl ester",5.8155,45
"Thiazole, 2-methyl-",5.8155,58
"Thiazole, 2-methyl-",5.8155,99
"Pyridine, 2-methyl-",5.9388,92
"Pyridine, 2-methyl-",5.9388,94
"Propanethial, S-oxide",6.0621,90
3-Methyl-2-butene-1-thiol,6.0621,102
3-Methyl-2-butene-1-thiol,6.0621,41
"1H-Pyrrole, 1-ethyl-",6.0621,95
"1H-Pyrrole, 1-ethyl-",6.0621,80
"Propanethial, S-oxide",6.0621,42
"Pentane, 2,2,3,4-tetramethyl-",6.0621,85
2-Hydroxy-3-pentanone,6.0621,45
2-Hydroxy-3-pentanone,6.0621,43
"Pentane, 2,2,3,4-tetramethyl-",6.0621,56
"Heptane, 2,4-dimethyl-",6.0621,85
"Heptane, 2,4-dimethyl-",6.0621,71
2-Hydroxy-3-pentanone,6.0621,59
1-Pentanethiol,6.1032,70
1-Pentanethiol,6.1032,104
Methyl valerate,6.1443,74
4-Methylthiazole,6.1443,71
4-Methylthiazole,6.1443,99
Methyl valerate,6.1443,43
Dimethyl Sulfoxide,6.1854,78
Dimethyl Sulfoxide,6.1854,63
Dimethyl Sulfoxide,6.1854,62
Dimethyl Sulfoxide,6.1854,45
"1,3-Octadiene",6.3087,81
"1,3-Octadiene",6.3087,110
Octane,6.314,85
Octane,6.314,71
Hexanal,6.314,82
Hexanal,6.314,67
"3,4-Hexanedione",6.314,57
"3-Hexenal, (Z)-",6.314,98
"3-Hexenal, (Z)-",6.314,69
"3,4-Hexanedione",6.314,114
"3-Pentanol, 2,4-dimethyl-",6.3909,45
"3-Pentanol, 2,4-dimethyl-",6.3909,73
"Pyrazine, methyl-",6.4731,94
"Pyrazine, methyl-",6.4731,42
3-Furaldehyde,6.5142,96
3-Furaldehyde,6.5142,95
Furfural,6.5553,95
Furfural,6.5553,96
"2-Butenoic acid, ethyl ester, (E)-",6.6375,39
"2-Butenoic acid, ethyl ester, (E)-",6.6375,86
"2,4-Dimethyl-1-heptene",6.6786,70
"2,4-Dimethyl-1-heptene",6.6786,126
"2-Pentenal, 2-methyl-",6.7197,55
"2-Pentenal, 2-methyl-",6.7197,97
Isopropyl isothiocyanate,6.7197,39
Isopropyl isothiocyanate,6.7197,101
"1-Pentanol, 3-methyl-",6.7608,55
"1-Pentanol, 3-methyl-",6.7608,69
"1-Pentanol, 3-methyl-",6.7608,84
"2-Pentanone, 4-hydroxy-4-methyl-",6.7608,43
"2-Pentanone, 4-hydroxy-4-methyl-",6.7608,101
Isopropyl butyrate,6.9252,89
Isopropyl butyrate,6.9252,88
"2-Butenoic acid, 3-methyl-, methyl ester",6.9252,114
"2-Butenoic acid, 3-methyl-, methyl ester",6.9252,83
"3-Hexanone, 4-methyl-",6.9663,85
"3-Hexanone, 4-methyl-",6.9663,114
"2-Butenoic acid, 2-methyl-, methyl ester, (Z)-",6.9663,83
"2-Butenoic acid, 2-methyl-, methyl ester, (Z)-",6.9663,114
"Ethanol, 2-(methylthio)-",6.9663,61
"Ethanol, 2-(methylthio)-",6.9663,92
"1-Pentanol, 4-methyl-",7.0896,55
4-Hydroxy-3-hexanone,7.0896,59
4-Hydroxy-3-hexanone,7.0896,58
4-Hydroxy-3-hexanone,7.0896,57
"1-Pentanol, 4-methyl-",7.0896,69
"Cyclopentanone, 2-methyl-",7.0896,41
"1-Octene, 4-methyl-",7.0896,85
"1-Octene, 4-methyl-",7.0896,84
"Cyclopentanone, 2-methyl-",7.0896,98
"Butane, 2-methyl-2-(methylthio)-",7.1307,89
"Butane, 2-methyl-2-(methylthio)-",7.1307,118
2-Hexyn-1-ol,7.1307,57
2-Hexyn-1-ol,7.1307,97
"2-Pentanol, acetate",7.2129,87
"2-Pentanol, acetate",7.2129,43
"Butanoic acid, 2-methyl-, ethyl ester",7.2129,102
"Butanoic acid, 2-methyl-, ethyl ester",7.2129,85
"Hexane, 2,3,4-trimethyl-",7.2129,85
"Benzene, chloro-",7.2129,112
"Hexane, 2,3,4-trimethyl-",7.2129,71
"Benzene, chloro-",7.2129,114
Methyl ethyl disulfide,7.254,108
Methyl ethyl disulfide,7.254,80
"Ethanethioic acid, S-propyl ester",7.2951,43
"Ethanethioic acid, S-propyl ester",7.2951,118
2-Hexenal,7.2951,69
2-Hexenal,7.2951,98
"Oxazole, trimethyl-",7.3362,110
"Oxazole, trimethyl-",7.3362,112
"3-Hexen-1-ol, (E)-",7.3362,67
"3-Hexen-1-ol, (E)-",7.3362,69
"3-Hexen-1-ol, (E)-",7.3362,82
"2-Hexenal, (E)-",7.4184,98
"2-Hexenal, (E)-",7.4184,83
"Butanoic acid, 3-methyl-, ethyl ester",7.4184,88
"Butanoic acid, 3-methyl-, ethyl ester",7.4184,115
Ethylbenzene,7.4595,91
Ethylbenzene,7.4595,106
3-Hexen-1-ol,7.5006,70
3-Hexen-1-ol,7.5006,82
"3-Hexen-1-ol, (Z)-",7.5417,69
"3-Hexen-1-ol, (Z)-",7.5417,82
"1,3-Cyclopentadiene, 5-(1-methylethylidene)-",7.5828,78
"1,3-Cyclopentadiene, 5-(1-methylethylidene)-",7.5828,105
n-Butyl ether,7.5828,87
"Heptane, 3,4-dimethyl-",7.5828,71
n-Butyl ether,7.5828,41
"Heptane, 3,4-dimethyl-",7.5828,99
